model,family,outcome,parameter,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,nobs,df_absorbed,week_clusters,effects,sample_flag,covariance
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,renewable_share_ws_10pp_winsor_p999_x_SON,-0.024135605642941385,0.023157180620878397,-1.0422514743086144,0.2972967035631555,-0.06952319444478662,0.02125198315890385,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.025922353405984644,0.001915020332393146,13.536333253229861,0.0,0.022168953680135974,0.029675753131833314,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,log_demand_centered,-0.5657256308467794,0.020130066045781398,-28.10351588316507,0.0,-0.6051801385089154,-0.5262711231846434,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,log_demand_centered_sq,-0.1153698822356794,0.004782966982814805,-24.12098654458692,0.0,-0.12474439730393758,-0.10599536716742122,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,renewable_share_ws_10pp_winsor_p999_x_MAM,0.010223226542290605,0.0028428534367125674,3.596114527139531,0.00032310434181814784,0.004651293372969918,0.015795159711611294,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,renewable_share_ws_10pp_winsor_p999_x_JJA,0.0210414243371945,0.002911804672942761,7.226248564238129,4.987121826616203e-13,0.015334348189605839,0.026748500484783163,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,renewable_share_ws_10pp_winsor_p999_x_SON,0.006724650359508045,0.0025868580623972033,2.59954361519024,0.009335652168959818,0.001654462759944868,0.011794837959071222,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.04888245693949549,0.0073979341084519,-6.607582092904676,3.918843027861385e-11,-0.06338225278229459,-0.034382661096696396,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,log_demand_centered,0.8361588466655078,0.0522294226392351,16.009345009251156,0.0,0.7337902726617235,0.9385274206692921,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,log_demand_centered_sq,0.21189556330410378,0.014515027876539655,14.598357309846183,0.0,0.18344641280113927,0.2403447138070683,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999_x_MAM,0.021845424943709574,0.010209898121011772,2.139632020299215,0.03238604899609654,0.0018342385556994086,0.04185661133171974,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999_x_JJA,0.03679204447847084,0.010903511899211729,3.3743297405976813,0.0007401350989919564,0.015421389618558254,0.05816269933838343,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
